age,study_hours,attendance,previous_score,pass
23,4.25,81,89,0
23,1.33,69,49,1
24,4.61,92,49,0
28,2.65,85,81,1
25,2.97,60,84,0
18,1.98,75,76,0
28,4.06,68,66,0
20,1.41,72,90,1
28,3.03,86,74,1
20,6.72,52,60,0
21,9.89,63,63,0
18,0.51,88,86,1
27,3.34,54,54,0
26,5.17,59,70,1
23,4.71,50,92,1
26,8.32,75,98,0
23,1.8,64,62,0
20,8.74,58,77,1
26,2.83,70,98,1
29,4.88,69,52,0
25,0.61,64,95,0
27,3.86,52,96,1
27,3.74,82,47,0
29,8.75,88,51,0
19,5.65,87,97,1
30,1.64,91,94,1
19,2.17,84,46,1
23,3.06,77,66,1
30,8.55,99,90,1
26,3.61,54,71,1
21,9.12,82,83,0
18,9.1,83,86,1
28,8.2,78,42,0
19,5.06,71,40,1
18,3.23,73,56,0
24,6.48,73,97,1
27,5.35,76,44,0
21,7.66,55,72,0
19,1.69,67,83,0
23,4.4,89,95,1
29,7.05,67,96,1
21,7.9,50,83,0
28,5.39,50,42,0
21,9.36,96,54,0
24,0.65,55,46,0
23,6.5,92,83,1
29,0.82,56,75,1
20,0.56,98,57,1
27,4.33,99,86,0
21,7.24,95,67,1
19,5.91,62,40,0
25,3.32,62,44,1
30,5.32,78,73,1
18,1.34,74,79,1
19,8.21,53,84,0
30,3.05,66,86,0
30,5.31,95,48,0
30,4.44,50,94,0
24,8.45,54,75,1
28,2.6,89,59,0
29,4.3,56,97,1
20,8.39,63,78,1
29,7.64,91,59,0
30,8.09,80,62,0
27,0.35,56,67,1
28,8.28,74,64,0
18,6.38,75,99,0
27,5.62,93,82,1
26,1.12,71,84,1
21,9.6,88,67,1
25,6.2,78,53,0
18,4.72,98,50,1
25,0.01,86,92,0
27,8.4,81,77,1
25,5.45,89,52,0
18,2.74,66,55,0
20,7.22,93,61,0
30,2.72,65,58,0
28,8.75,69,42,0
22,2.66,81,97,0
24,5.76,68,46,1
22,4.86,50,96,0
23,1.51,82,97,0
22,7.34,56,48,1
29,5.32,77,60,0
21,6.65,96,83,1
24,1.6,68,52,1
22,1.96,68,98,0
20,7.03,64,69,1
25,0.68,98,45,1
30,5.8,67,73,1
26,7.62,93,67,0
27,1.34,63,95,0
30,6.12,66,99,0
25,6.75,68,41,0
19,4.61,54,60,1
25,2.0,92,52,1
28,5.48,60,68,1
18,3.1,55,80,0
22,1.73,71,59,0
25,4.19,72,55,0
28,6.86,55,99,1
21,9.07,52,42,1
30,7.78,61,76,1
24,6.39,75,78,0
20,5.08,63,74,0
20,2.97,58,75,0
21,2.29,71,56,0
23,3.05,60,73,0
25,1.97,54,87,1
29,9.04,61,51,0
28,4.77,57,75,0
18,7.03,98,99,0
22,7.94,67,47,0
19,8.3,56,90,1
23,8.29,96,68,1
22,1.35,92,43,1
30,7.39,50,77,0
18,2.52,58,51,1
24,5.85,61,65,0
19,8.19,69,41,0
19,5.88,64,89,0
28,5.18,97,61,1
21,6.41,73,49,1
27,4.51,80,94,1
24,6.11,52,61,0
27,6.66,76,88,1
28,5.47,80,56,0
21,6.12,75,71,0
21,6.81,62,40,1
20,4.96,93,70,0
23,6.87,88,81,1
21,3.02,81,62,0
22,3.97,74,40,0
21,3.41,76,66,1
26,5.42,97,48,1
30,8.21,100,60,0
22,2.17,82,60,0
19,0.8,60,79,1
18,4.7,65,100,0
25,6.7,89,86,1
24,5.5,82,73,0
19,2.6,91,64,1
18,2.16,75,86,1
19,4.31,76,81,0
25,8.33,83,89,0
28,3.61,63,73,0
27,4.04,74,94,0
20,0.19,67,67,0
25,0.01,75,100,1
21,7.78,72,50,1
29,2.7,71,50,0
21,7.45,89,83,0
21,2.7,59,85,1
22,2.83,90,58,0
20,7.26,95,81,1
28,2.3,58,63,1
29,1.71,60,83,1
23,8.03,86,86,1
21,6.98,54,54,1
28,0.34,96,55,1
24,1.04,81,47,0
30,9.96,69,81,0
25,1.4,59,63,1
21,0.16,96,99,1
19,5.3,94,52,0
20,4.71,74,79,1
20,9.54,100,67,1
26,2.52,77,82,0
29,7.42,58,75,1
19,2.31,53,68,1
24,3.11,91,48,0
29,7.8,92,66,1
23,4.09,87,82,0
22,0.98,90,48,0
22,4.06,77,53,1
23,3.38,62,53,0
29,3.36,99,55,1
20,1.36,56,56,1
29,8.76,81,57,0
30,4.74,63,42,1
22,7.63,63,78,0
22,1.36,56,95,0
27,8.29,57,89,1
21,7.91,96,62,1
30,7.81,68,63,0
20,8.07,98,71,1
18,8.0,54,51,1
26,2.37,63,53,0
30,3.88,61,71,1
26,6.71,57,67,0
19,6.6,99,44,0
30,1.92,73,81,1
27,5.48,78,46,0
25,8.14,80,71,0
18,6.78,85,75,1
19,6.41,97,64,0
25,5.5,85,100,0
23,3.51,66,43,1
18,5.86,80,100,1
26,9.52,67,55,1
23,7.39,88,57,1
28,5.27,87,78,1
18,7.78,84,68,0
18,6.72,53,44,1
21,4.91,58,69,0
23,4.94,66,82,1
23,4.51,88,57,1
25,7.21,70,72,1
20,0.87,50,82,1
21,8.24,99,100,1
24,3.3,66,42,1
24,2.77,91,59,0
20,1.11,92,81,1
23,3.52,59,67,1
18,1.11,63,61,0
26,0.48,91,90,0
24,1.93,63,48,0
24,2.75,83,63,1
28,6.63,75,98,1
29,1.23,100,67,1
27,1.94,91,77,0
25,5.58,75,96,1
30,6.74,81,68,0
24,8.37,78,92,1
26,3.78,95,58,1
18,8.14,72,60,0
21,5.46,78,45,0
24,1.5,99,74,1
25,7.94,81,50,0
24,9.73,100,43,1
19,1.56,82,50,0
20,4.48,55,78,0
24,5.78,57,72,0
19,6.46,100,73,0
30,0.9,91,91,0
25,9.15,74,91,1
19,4.08,94,54,0
18,7.02,60,73,0
23,3.02,67,84,1
25,2.17,69,50,0
20,1.9,88,64,0
24,3.87,82,48,1
27,6.01,54,97,1
28,5.31,71,62,0
23,6.79,96,54,1
28,3.59,54,46,1
21,2.58,94,61,1
21,8.31,56,76,1
18,5.75,66,96,1
20,6.1,50,71,0
18,3.71,67,54,0
27,4.13,98,74,0
22,7.6,83,90,0
26,4.2,51,77,1
21,1.76,78,52,0
24,4.76,72,75,0
28,2.41,79,97,1
24,4.74,59,96,1
22,6.96,74,67,1
21,9.6,83,71,0
24,7.18,80,70,1
24,7.74,52,82,1
26,1.75,89,99,0
25,2.75,60,95,1
26,4.4,71,60,0
29,0.35,73,65,0
29,6.09,89,68,0
29,0.48,99,59,1
28,1.39,98,66,0
29,6.6,66,61,0
19,0.12,85,77,0
23,9.02,76,54,1
27,3.34,77,70,1
22,2.99,75,50,0
20,5.97,96,55,0
22,3.51,94,84,1
23,6.39,87,50,1
24,4.59,70,79,0
30,1.21,59,69,0
30,1.73,80,76,1
30,1.34,58,76,0
29,3.83,99,90,1
22,2.98,77,40,1
27,8.85,63,67,0
22,9.87,96,51,1
27,7.26,80,66,1
23,3.23,87,64,0
30,4.25,94,71,0
19,3.57,62,93,0
19,7.7,94,61,0
23,9.21,66,90,1
26,1.58,58,40,0
28,0.16,79,43,0
21,9.36,87,82,0
30,2.22,91,95,0
19,6.0,78,70,0
24,5.59,96,50,0
28,3.2,62,74,1
29,2.02,97,46,0
28,9.41,62,78,0
30,6.56,58,76,0
25,5.31,78,75,0
27,0.82,89,60,0
21,3.55,68,86,1
27,4.49,85,40,0
21,0.95,52,87,0
22,1.84,75,49,1
18,1.18,54,56,1
22,5.36,79,98,1
19,8.14,95,63,0
25,8.99,76,51,0
28,6.44,62,62,1
19,3.31,67,68,0
21,5.73,96,65,0
25,1.19,91,49,0
27,4.89,83,74,0
22,0.89,84,70,1
25,7.92,72,80,1
18,3.07,64,90,1
20,1.37,61,86,1
21,3.39,93,84,0
18,1.88,78,92,0
22,5.01,67,58,1
26,9.12,78,98,0
26,2.7,75,77,0
27,8.64,95,82,1
19,6.94,69,70,1
25,9.45,61,42,0
27,1.64,80,75,0
30,0.46,55,71,0
30,4.02,53,65,0
22,6.88,94,45,0
19,4.72,67,46,1
26,9.79,58,59,0
24,8.93,70,87,1
25,4.98,83,70,0
25,2.56,65,79,1
25,0.52,67,50,1
26,6.53,57,67,0
28,7.35,100,80,1
30,1.64,68,46,0
19,3.78,71,82,0
27,5.86,79,50,1
20,9.17,85,62,0
25,7.49,99,48,0
22,3.96,87,100,1
29,5.68,61,77,0
27,4.49,72,40,0
27,1.17,88,89,1
22,9.87,92,98,0
23,1.03,93,63,0
23,1.88,73,49,0
24,4.89,63,96,1
25,1.94,97,77,1
22,8.73,61,63,1
20,3.66,51,89,0
29,0.44,55,89,1
28,9.5,55,52,0
23,8.68,60,52,0
18,7.08,50,96,1
25,6.88,62,86,1
29,7.43,67,96,1
25,3.04,71,44,1
23,0.59,99,79,1
29,7.24,85,82,0
24,5.29,91,91,1
25,2.97,74,100,1
25,7.53,76,69,0
27,4.7,55,46,0
30,4.67,63,96,1
27,3.17,71,58,0
27,5.73,71,48,1
24,5.78,52,48,0
18,1.0,94,57,0
22,6.38,78,42,1
28,3.9,70,63,1
20,4.27,77,100,1
29,7.01,61,84,0
25,0.57,90,76,0
27,4.64,62,97,1
24,3.01,91,83,0
19,2.51,68,92,1
24,7.18,70,88,1
26,6.25,51,73,1
23,5.78,63,85,1
22,2.03,99,87,1
30,0.6,59,43,1
24,6.48,76,46,0
29,6.95,99,97,0
25,0.03,74,47,0
28,8.06,50,43,0
29,6.33,65,89,0
19,5.1,70,72,0
25,0.37,71,48,1
28,1.41,81,80,1
25,1.41,92,76,0
21,7.85,67,66,0
28,2.6,84,46,0
25,7.3,68,60,1
25,9.07,81,40,0
21,0.61,66,57,1
25,2.03,76,67,0
21,2.37,74,77,0
22,6.8,71,44,1
26,8.17,83,57,1
18,5.2,65,81,0
18,9.01,84,69,1
18,1.08,89,48,0
20,3.53,87,52,0
27,9.68,56,52,0
26,6.72,72,91,0
24,0.32,64,57,1
26,3.28,77,46,0
27,7.37,82,47,1
21,5.52,86,62,0
29,0.39,88,99,1
23,9.62,61,61,1
26,2.89,52,58,1
19,2.4,74,61,0
21,1.4,98,99,0
21,9.82,63,89,0
21,2.99,100,60,1
22,5.48,60,91,0
19,9.08,76,93,0
29,9.29,85,52,0
27,0.79,67,43,1
19,5.89,65,82,0
24,8.6,50,52,0
21,8.66,88,77,1
29,1.24,68,84,1
22,0.37,89,62,1
22,6.95,88,67,0
27,4.09,65,47,1
29,0.03,55,55,0
29,2.92,84,59,1
20,9.82,65,91,0
29,2.39,70,43,1
30,7.0,74,72,0
18,4.21,67,46,0
29,2.47,97,49,1
23,0.08,78,51,0
23,0.68,52,98,0
18,2.67,85,76,1
26,9.68,92,47,1
21,0.22,65,92,1
23,7.11,55,91,1
23,8.65,85,64,0
24,4.47,86,96,1
19,8.6,67,98,1
26,8.0,77,86,0
21,4.9,88,58,0
21,3.67,89,56,1
21,1.85,67,64,1
29,8.45,87,48,1
18,1.47,74,71,1
18,4.77,88,51,0
28,1.96,98,61,0
29,4.22,61,76,0
20,0.17,81,48,1
23,9.38,93,58,0
26,9.75,56,65,0
29,8.44,94,50,0
26,0.84,96,82,1
21,0.97,52,61,0
24,0.37,77,96,1
27,3.41,84,98,1
26,7.87,87,54,1
26,9.87,54,57,1
27,4.76,73,84,0
18,9.18,86,86,1
20,8.96,89,84,1
28,1.31,58,62,0
20,2.76,59,43,1
24,6.77,74,77,1
26,1.55,68,45,0
28,1.48,72,85,0
18,7.02,100,55,0
22,0.53,62,89,0
24,8.11,76,65,0
29,6.98,66,83,1
23,7.7,72,54,1
30,1.65,53,84,1
22,5.77,58,87,1
30,7.72,96,58,1
24,1.81,52,47,1
30,8.71,87,70,0
18,0.03,69,67,0
19,9.48,74,90,0
18,3.85,78,54,0
29,8.78,87,40,0
19,5.36,81,53,0
28,8.58,65,80,0
19,8.7,69,98,1
30,5.43,73,92,1
21,5.11,77,79,1
23,3.24,98,77,1
20,6.72,65,73,0
24,0.71,100,49,1
20,6.5,92,43,1
19,9.16,75,91,1
19,5.2,86,100,1
25,3.8,68,91,1
25,6.24,53,92,1
29,4.98,61,91,0
27,1.83,97,82,1
25,3.06,82,73,1
22,3.59,77,81,1
23,7.84,95,74,1
18,5.17,87,52,0
20,0.42,60,89,1
29,6.36,83,42,1
28,9.74,66,48,0
22,1.54,97,49,0
20,0.44,58,50,1
26,2.61,86,75,0
26,3.38,87,54,0
29,7.5,73,45,1
22,0.95,79,93,0
29,6.91,70,78,0
18,0.92,86,49,0
29,6.8,62,97,0
20,3.8,91,90,0
29,3.95,98,82,1
25,7.52,51,78,0
22,8.5,65,91,0
24,9.98,74,44,1
21,5.46,67,43,1
21,1.0,93,65,1
21,8.89,60,81,1
29,9.16,96,70,1
19,8.06,77,99,1
20,5.77,78,49,0
28,1.21,51,42,1
30,1.76,76,64,0
19,0.07,93,91,0
21,6.47,82,60,0
29,3.07,100,78,1
18,4.59,96,50,1
30,0.43,76,96,0
20,5.58,66,61,0
18,1.04,51,45,1
20,4.54,94,50,1
30,7.56,66,68,0
24,4.52,83,43,0
28,4.24,56,87,0
24,3.05,57,52,0
24,6.59,78,82,1
19,9.03,81,59,1
26,5.45,53,93,0
29,6.23,83,81,0
21,0.43,66,64,1
22,4.17,100,84,0
28,0.96,82,95,0
25,2.61,64,44,0
26,0.14,89,67,1
25,0.37,58,67,1
22,2.06,93,90,1
26,1.89,51,94,0
27,4.98,80,53,0
29,1.97,69,92,0
25,3.42,74,67,1
27,7.89,51,43,0
25,3.86,71,64,1
24,9.48,89,69,1
26,0.7,50,71,1
29,0.2,63,61,1
22,3.96,100,55,0
20,1.78,51,56,0
24,3.45,86,53,0
19,1.82,79,74,1
28,2.81,56,69,1
27,8.22,95,49,0
27,6.65,55,57,1
18,3.13,61,89,0
25,6.37,94,58,0
27,0.82,98,94,1
20,2.89,54,61,1
19,9.6,81,83,1
21,3.9,59,97,0
26,7.41,67,91,0
18,2.58,55,52,0
20,2.9,98,90,1
26,8.23,100,77,1
22,5.65,56,100,0
23,5.68,91,88,1
29,5.21,86,85,0
28,9.54,96,61,1
19,2.91,70,99,0
27,3.52,53,68,0
26,3.57,77,100,1
24,1.48,97,47,1
27,6.07,78,72,0
18,0.32,67,42,1
27,3.2,61,57,0
21,9.37,94,66,0
29,6.27,55,61,0
26,2.06,69,72,0
22,6.0,93,87,0
29,6.31,72,67,1
19,0.99,85,56,1
18,6.01,79,49,0
25,9.81,57,64,0
29,2.96,98,66,1
18,6.82,68,84,1
28,7.11,68,48,1
27,5.55,100,57,1
18,2.15,93,86,1
19,9.86,92,86,0
23,1.2,78,46,1
24,0.53,52,62,1
22,8.14,61,62,1
21,7.57,84,97,0
20,9.75,56,62,0
30,6.5,59,52,0
26,0.84,63,79,1
24,1.87,71,71,1
28,4.44,92,87,0
30,4.13,60,45,1
18,3.69,59,42,1
27,6.29,98,49,0
26,3.06,97,85,0
19,4.13,63,73,0
24,4.85,70,53,0
28,4.54,65,90,0
30,9.21,62,61,0
26,2.63,58,61,1
27,9.92,76,79,1
19,6.97,90,80,1
18,6.25,93,92,0
18,7.81,80,60,0
21,4.64,84,49,0
25,6.36,80,74,1
28,5.7,74,73,0
18,6.28,80,96,1
20,3.36,56,65,0
20,9.98,86,95,0
20,4.34,64,53,1
26,1.35,90,42,0
27,7.52,77,76,1
25,8.28,92,71,1
30,4.26,61,46,1
19,2.5,50,56,0
28,0.28,100,41,1
27,0.06,53,45,0
21,6.24,95,58,0
26,0.65,96,100,1
22,1.89,68,64,1
22,0.93,99,40,0
27,3.06,94,93,0
29,6.31,76,81,1
19,1.6,62,70,0
21,6.48,54,56,0
18,7.44,66,40,1
27,7.89,92,83,1
18,5.28,62,45,1
29,6.94,68,77,1
24,0.51,78,61,0
30,3.84,64,50,1
26,7.21,75,65,1
24,0.95,98,51,0
29,6.72,52,95,0
27,1.62,76,59,1
30,0.91,56,93,1
19,1.47,63,55,0
29,8.47,79,86,0
30,7.12,93,71,1
19,5.95,84,70,0
26,3.64,65,57,1
27,3.95,89,64,1
18,5.35,51,67,1
25,9.01,75,91,0
22,2.04,57,42,0
21,5.58,81,48,1
24,0.79,78,98,1
21,0.53,84,83,0
26,5.54,97,100,1
19,3.14,90,85,0
26,1.91,100,51,1
25,7.94,58,71,1
24,3.6,65,68,0
18,1.66,57,71,0
19,9.02,78,56,1
22,5.64,84,91,0
24,9.71,77,93,0
23,7.58,62,66,0
20,3.87,50,55,1
26,0.55,63,46,1
23,3.98,65,56,0
20,2.31,68,74,1
19,5.34,61,56,1
19,2.08,74,52,1
18,6.29,93,63,1
20,5.89,96,56,0
24,4.05,75,57,1
27,5.07,50,65,0
22,2.94,79,92,0
29,6.06,81,76,0
27,1.55,85,42,0
24,2.46,85,86,1
21,6.83,64,55,0
26,6.51,64,50,0
26,1.82,75,44,1
21,6.35,63,41,1
28,6.6,84,59,0
24,1.53,71,80,0
22,7.69,62,51,1
23,8.32,54,95,0
20,3.12,51,83,0
19,0.4,87,50,0
23,8.8,74,81,0
30,0.92,72,70,1
21,2.8,74,42,0
26,2.06,81,58,1
23,1.06,64,100,1
27,0.52,64,94,0
26,2.09,75,74,0
26,7.7,87,56,1
24,6.29,52,77,1
21,1.26,73,45,0
18,0.53,96,100,1
21,6.67,51,100,0
25,7.96,98,98,0
30,8.32,71,76,0
21,5.42,96,72,0
21,1.27,89,45,1
24,2.32,76,99,0
19,0.5,96,89,1
23,0.45,94,49,0
18,1.03,60,64,0
23,4.51,70,85,1
18,5.79,95,72,0
26,3.48,53,50,0
24,4.45,84,81,0
22,2.92,60,69,0
27,1.49,91,100,0
27,4.86,90,78,0
27,9.34,85,88,0
20,6.22,79,72,1
22,2.62,63,90,0
27,3.93,71,62,1
22,0.87,79,68,0
26,7.84,80,96,1
20,5.87,55,53,1
23,4.05,55,43,0
24,3.72,61,58,0
22,8.5,63,99,0
27,3.16,57,42,1
22,3.89,81,51,0
21,2.19,93,75,1
19,1.06,96,53,1
20,5.62,53,44,0
27,7.41,92,93,1
22,0.63,68,42,1
30,6.91,66,51,1
29,1.6,50,88,0
26,8.79,54,100,0
21,6.76,66,85,0
19,6.05,97,78,1
20,6.73,88,49,0
21,1.03,75,76,0
26,8.84,72,82,0
27,2.62,94,70,1
22,0.72,77,95,1
29,4.92,60,82,0
19,4.23,74,86,1
19,9.77,54,88,1
21,2.83,55,90,0
29,4.14,69,74,1
20,9.17,58,89,0
23,4.69,88,79,1
23,8.44,73,68,1
25,6.09,59,57,1
29,9.62,78,100,0
28,4.84,56,81,1
24,3.17,81,80,1
29,9.12,87,60,0
26,8.14,90,45,1
23,4.61,92,91,1
22,9.47,53,40,0
25,4.97,54,96,1
19,2.65,71,68,1
23,7.46,95,85,1
25,5.05,87,65,1
21,8.21,57,47,1
29,4.42,82,88,1
21,8.96,88,67,1
27,1.57,88,94,1
29,0.31,89,69,1
21,4.72,76,65,1
18,1.99,88,79,1
28,4.84,95,86,0
22,5.2,96,70,0
27,8.97,94,69,1
19,8.78,52,80,0
25,2.3,94,44,0
22,4.42,55,93,1
24,9.28,85,56,1
20,2.6,81,99,1
29,6.81,60,42,1
28,7.47,94,94,0
29,7.35,59,97,0
18,9.52,69,43,1
28,1.34,94,100,1
30,6.44,81,99,0
28,1.77,84,46,1
18,6.27,97,47,1
29,7.13,90,46,0
19,5.96,79,92,0
22,6.12,64,60,1
25,0.19,83,93,0
30,4.98,61,61,1
21,2.68,66,89,0
29,3.04,80,46,0
24,0.79,92,76,1
26,1.56,79,53,1
26,1.32,93,48,1
26,6.06,55,89,0
24,9.97,89,91,1
23,0.4,74,61,0
29,5.02,82,83,0
28,2.3,70,51,1
27,9.6,95,78,1
23,6.43,73,47,1
25,2.73,61,52,0
21,4.53,91,45,0
30,5.5,96,76,0
23,8.29,85,93,1
25,3.3,53,93,1
20,6.6,73,95,1
26,9.7,92,75,1
22,3.59,56,60,1
23,3.41,70,58,0
30,8.05,75,96,0
29,8.99,97,40,0
22,6.73,89,86,0
26,9.77,82,81,0
26,5.74,75,65,1
19,3.62,59,86,0
24,8.28,60,48,1
20,7.57,53,53,0
26,2.91,69,91,1
28,3.78,52,55,1
30,1.36,56,95,1
28,2.18,75,41,1
19,6.93,53,94,1
24,8.6,95,63,1
19,0.01,74,66,1
20,7.87,57,90,0
25,6.53,60,67,1
23,9.23,87,66,0
23,3.62,99,40,1
25,2.06,70,41,0
28,2.35,63,99,0
26,2.73,82,60,1
18,0.85,52,90,1
21,9.88,71,73,0
25,5.09,78,87,0
26,5.6,53,97,0
25,1.68,62,64,1
26,2.8,73,75,1
30,6.32,81,51,0
18,0.67,97,62,0
18,3.35,56,64,1
21,3.6,79,71,1
21,9.36,58,97,0
21,8.16,96,50,0
20,6.72,97,57,0
20,3.7,62,47,1
23,0.34,83,49,1
23,7.95,90,89,0
18,2.56,76,97,1
20,7.59,64,56,1
27,0.41,74,82,1
24,4.53,90,63,0
28,2.55,99,81,1
21,1.24,64,51,1
24,7.27,88,43,0
28,2.12,54,65,0
24,2.43,77,74,1
21,9.61,88,70,1
21,3.97,72,97,0
25,0.51,55,92,0
25,1.05,84,65,0
26,0.94,100,63,1
30,6.71,54,45,0
24,9.81,65,46,1
30,3.1,95,73,1
24,8.97,80,66,1
28,5.03,73,76,1
25,7.61,63,74,0
19,8.09,95,52,1
28,6.62,56,69,0
30,3.96,73,91,0
24,8.71,77,97,0
26,7.67,64,89,0
23,2.17,82,52,1
18,2.27,59,86,0
22,1.48,62,54,0
22,5.9,86,70,1
18,5.47,79,51,0
20,1.49,53,86,0
30,1.99,73,84,1
18,9.6,53,75,1
29,2.81,85,99,0
27,2.76,53,100,0
28,6.92,52,55,1
19,1.89,77,64,0
25,8.68,94,49,1
22,8.45,96,85,1
27,9.11,87,61,0
19,2.19,85,55,0
21,6.77,77,44,1
20,7.55,96,45,1
23,8.11,52,59,1
24,9.92,98,44,0
18,3.85,97,40,0
22,2.18,61,87,1
20,2.42,63,85,0
29,9.61,68,97,1
23,0.64,71,70,0
18,1.67,97,43,1
25,2.49,80,63,1
22,0.96,74,44,1
30,7.83,91,43,1
25,8.61,95,89,0
26,0.32,65,95,1
26,3.67,77,96,0
27,3.52,65,85,1
27,6.12,71,41,0
20,0.26,53,72,0
26,3.58,72,84,0
21,9.37,95,61,0
19,4.81,68,48,0
21,9.51,57,41,1
25,3.58,75,88,0
19,4.03,59,100,0
19,6.57,97,67,0
27,8.65,56,76,0
29,6.81,72,90,0
27,4.51,99,48,0
